Company,Count - Company,Rating
Kulicke and Soffa,2,
KVInc.,1,
KVK Tech,1,
kW Mission Critical Engineering,1,
Kymeta,1,
L&T Technology Services,1,
L&T Technology Services Ltd.,3,
L3 Technologies,2,
L3Harris,5,
L3Harris Technologies,16,
Laboratory Testing Inc,1,
Labyrinth Learning,1,
LaFrance,1,
LaFrance Corp,1,
Lake Superior Consulting (A Shawcor Company),2,
Lake Washington Institute of Technology,1,
Lam Research,6,
LanzaTech,2,
Laporte Consultants Corp.,1,
Lattice Innovation Inc,1,
Lattice Semiconductor Corp,6,
Lawrence Berkeley National Laboratory,5,
Lazarus Naturals,1,
LB&B Associates Inc.,2,
LCC,1,
LDX Solutions,1,
Legrand,3,
Leidos,9,
Lenovo,1,
Leonardo DRS,4,
"Level Ex, Inc.",1,
Lewiz communications,4,
Liberty Personnel Services,1,
"LiDestri Foods, Inc.",1,
Life Cycle Engineering,1,
Life Time,3,
Light Field Lab,2,
Linamar Corp,6,
LinaTech LLC,1,
Lincoln Healthcare,5,
Lindblad Expeditions,1,
LinQuest Corporation,1,
"Liquid Robotics, a Boeing Company",2,
Listen,1,
Lockheed Martin,1,
LOCKHEED MARTIN CORPORATION,102,
Loft Orbital Solutions,2,
Loon,9,
Loram,2,
Loyola University Chicago,2,
LTK Engineering Services,3,
Lubrizol Corporation,1,
Lucas Milhaupt,1,
Lucas-Milhaupt,2,
Lucasfilm,1,
Lucid Motors,71,
Lumenous Device Technologies,2,
Luminii,1,
Luminii LLC,2,
"LUXSHARE-ICT, Inc",4,
Luxus,1,
Lyft,7,
"MacAulay-Brown, Inc. (MacB)",3,
Madison Area Technical College,1,
Madison Emergency Physicians,1,
Magrann Associates,2,
Malin Space Science Systems,1,
Manson Construction Co.,1,
"Mantle, Inc.",1,
maptalent,2,
Marine Systems Corporation,1,
Marki Microwave Inc,2,
Marlo Incorporated,1,
Marquette Partners,1,
Marquette University,1,
"Marriott International, Inc",2,
MasTec Network Solutions,1,
Mathematica Policy Research,7,
MathWorks,1,
Maxar Technologies,46,
MaXentric,1,
Maxim Integrated,7,
Maximum Manufacturing,1,
McCain Foods USA Inc.,1,
McCarthy Building Co,1,
McCormick Taylor,1,
McDonald's Corporate,1,
MCKEAN DEFENSE/CABRILLO TECHNOLOGIES,7,
McKinstry,4,
McMillen Jacobs Associates,1,
"MCR, LLC.",1,
MDC Vacuum,1,
MediaTek,2,
Medical College of Wisconsin,3,
Medline Industries Inc,1,
Medtronic,4,
MEI Technologies,1,
Memjet,1,
"MEP Associates, LLC",2,
MEP Engineering,1,
Mercy Flight Central Inc.,3,
Mercy Health,1,
Merrick & Company,5,
Mesirow Financial Administrative Corp,1,
Metamaterial Technologies Inc.,2,
Metis Technology Solutions Inc,5,
MGIC,1,
"MGS Mfg. Group, Inc",1,
"Mi-Jack Products, Inc.",1,
Miba,1,
Microchip Technology,1,
Micron,2,
Microsoft,18,
MicroVision,1,
"Microwave Innovations, Inc.",4,
Middough Inc.,1,
Midwestern University,2,
Milestone AV Technologies,1,
Milwaukee Electric Tool Corporation,5,
Milwaukee School of Engineering,1,
Milwaukee Tool,5,
Minneapolis Community and Technical College,2,
Minnesota Oncology P.A.,4,
Mitchell Hamline School of Law,2,
Mizuho OSI,3,
Mobiveil,2,
Modern Electron,3,
"Modern Technology Solutions, Inc. (MTSI)",2,
Mojo Mobility,1,
Molex,2,
Monarch Tractor,1,
Monterey Mechanical Company,2,
Moog,2,
Moorhead Machinery and Boiler Company,2,
Morgan Advanced Materials,6,
Morgan Properties,1,
Morgan Stanley,1,
Morrison Products Inc.,1,
Morton College,3,
MothersonSumi Infotech and Designs Ltd.,1,
Motion & Control Enterprises,1,
Motorola Solutions,1,
"MSA Professional Services, Inc.",1,
MSB Global Resources,3,
MTech Mechanical,2,
Multi-Fab Products,1,
Murphy Company Mechanical Contractors and Engineer,1,
My Future Consulting - Staffing,1,
n&k technology,7,
Nanometrics Incorporated,2,
Natera,2,
Natilus,8,
National Aerospace Solutions,8,
National Air and Space Intelligence Center (NASIC),2,
National Renewable Energy Laboratory,12,
Natural Talent LLC,1,
Natus Medical Incorporated,1,
NAVIS,1,
"Navistar, Inc.",2,
Navos,1,
NDI Engineering,1,
Neato Robotics,1,
Neenah Foundry Company,1,
NeoCoil,1,
Neumes Consulting,2,
NEURALINK,2,
New Hudson Facades,1,
NewmanSearch,2,
Next Generation Technology Inc.,2,
Next Level Professional,4,
NFI Industries,3,
NHK International Corporation,2,
Nidec Motor Corporation,1,
Nielsen,1,
Nika,1,
Nikola,3,
Nilfisk,1,
Nintex,1,
NJOY,1,
NOKIA,2,
Nor-Cal Products,2,
NORC at the University of Chicago,2,
Norco Manufacturing,1,
Nord Gear Corporation,2,
Nordco Equipment Services,2,
"Nordex USA, Inc.",1,
Nordson,6,
Nordson Medical,3,
"North Star Imaging, an ITW Company",1,
North Suburban Medical Center,1,
Northrop Grumman,29,
NorthStar Medical Technologies,1,
Northwest Community Healthcare,1,
Northwestern University,4,
Notable Labs,1,
Notkin Engineers,1,
Novaspect,2,
NV5,3,
NVIDIA,27,
Oakton Community College,2,
Oasis Systems LLC,1,
"Odyssey Systems Consulting Group, Ltd",1,
Off the Grid,2,
Oliver Healthcare Packaging,1,
Olympic College,1,
omega solutions inc,1,
Omni Design Technologies,1,
Omnicell,3,
Omniome Inc.,2,
Omniscience,1,
"Omnivision Technologies, Inc",10,
OnScale,1,
Open Access Technology International (OATI),2,
Opener,15,
openwater (openwater.cc),3,
"Operating Company TOYS FOR BOB, INC.",1,
OPEX Corporation,2,
Ophir Corporation,1,
Ophir Corporaton,1,
Opti Staffing Group,1,
Optical Systems,4,
Optimal Solutions,1,
"Optimar US, Inc.",1,
Optimas Solutions,1,
Optimum Energy,1,
Optimum Energy Design,1,
Optimum Sorting,1,
Optimum Sorting US,1,
Options Clearing Corporation,1,
Oracle,8,
"Orbis, Inc.",2,
Orbital Engineering,1,
Orbus Exhibit & Display Group,1,
Orbus Inc,1,
Orolia,4,
Osaro,1,
"OSG USA, Inc.",1,
OSW Equipment And Repair,1,
"OTHON, Inc. Consulting Engineers",2,
OURS Technology Inc.,2,
Overhead Door Corporation,1,
Oxford Instruments Plc,2,
PACCAR,13,
Pace Analytical,2,
Pacific Gas And Electric Company,1,
Pacific Market International,1,
Pacific Northwest National Laboratory,1,
PacMoore,1,
PAE,1,
PAE Consulting Engineers,4,
Palo Alto Networks,2,
Pan Stone Europe,1,
Panasonic Corporation of North America,1,
"PaR Systems, Inc.",1,
Paragon Engineering Corporation,1,
Paragon Space Development Corporation,1,
Paramit Corporation,1,
"PARC, a Xerox company",1,
"Park Computer Systems, Inc.",1,
Parker Hannifin Corporation,4,
Parsons,1,
PAVIR,2,
PayPal,2,
PBF Energy,1,
"PCB Piezotronics, Inc.",2,
PDF Solutions,2,
PDS IG Equipment,1,
"PDSI Technical Services, Inc.",2,
Pen-tech,2,
Penn Power,3,
Penn State University,1,
Penn Technical Staffing,1,
Pennoni,1,
Pensar Development,1,
Pentair,2,
Penumbra US,5,
PEOPLE CORE,1,
Peopleware Technologies,1,
Pepper Hamilton LLP,2,
Perspecta,7,
"PESystems, Inc.",4,
Peter Albrecht Company,1,
PFlow Industries,2,
PGi,1,
Phantom AI,2,
PHIHONG USA,3,
Philips,3,
Phillips and Temro Industries,2,
"Phillips Service Industries, Inc.",1,
Phillips-Medisize,2,
Phoenix LLC,4,
Piasecki Aircraft Corporation,1,
PIC Group,2,
PIC Group Inc.,1,
PickNik,1,
"PillPack, LLC",1,
Piney Technical Services,1,
PINN Rehab,1,
Planet,1,
Plenty,8,
Plug Power Inc,1,
PlusAI,2,
Poclain Hydraulics,1,
Pohlad Companies,1,
Polaris Industries,1,
PolarOnyx,6,
Port of Seattle,1,
Postmates,3,
"POWER Engineers, Inc.",3,
Power Integrations,1,
"Power Solutions International, Inc.",1,
Prairie State College,1,
Praxair,2,
Presbyterian/St. Luke's Medical Center,1,
Prevailance Inc,1,
Preventa Medical Corporation,1,
Prime Care Coordination,1,
Primera,3,
Principia Engineering,2,
ProbablyMonsters,1,
PROCEPT BioRobotics Corporation,2,
"Proctor Sales, Inc.",1,
Production Systems,2,
"Progress Rail, a Caterpillar Company",1,
Progressive Machine & Design,1,
Promaxo,1,
ProPlus Design Solutions,1,
Protagonist Therapeutics,1,
PTS Diagnostics,1,
PUBG San Ramon,1,
"Pulice Construction, Inc.",1,
Pyrotek Inc,1,
QCraft,2,
Qorvo,1,
Qualcomm,25,
QualiTest,2,
Qualys,1,
"Quanta Computer USA, Inc.",1,
"Quanta U.S., Inc.",1,
Quantadyn Technical Services Corporation,1,
Quantech Services,2,
Quantum Leap Healthcare,1,
Quartus Engineering,2,
Québec Immigration Office,2,
"Quik Pak, a Division of Promex Industries Inc",1,
R. A. Zweig,1,
R&P Technologies,1,
Racine Metal Fab,1,
Radiance Technologies Inc.,10,
Radiant Vision Systems,1,
Radius Design,1,
Radwell,1,
Rainier Industries,1,
RAM Mounts,1,
Rand McNally,1,
Rand SIM,4,
RANDO MACHINE CORPORATION,2,
Randstad Engineering,3,
Raytheon,9,
RCS Corporation,5,
RE Tech Advisors,2,
Red Nucleus,1,
Regal Beloit,1,
Regional Medical Center of San Jose,2,
Regions Hospital,5,
Regis University,2,
Relativity,1,
Relayr,1,
"ReliaQuest, LLC.",1,
Remedy Intelligent Staffing,1,
Renton Technical College,1,
Replica,1,
Resure Technology,4,
REV Group,1,
Reyes Beer Division,1,
RF-Lambda,1,
RFA Engineering,6,
Ricardo,3,
Ricoh,1,
"Ricondo & Associates, Inc.",1,
Right Paradigm Consulting,1,
Rimkus Consulting,2,
"Rimkus Consulting Group, Inc.",4,
Rincon Research Corporation,1,
Riverside Research,5,
Riverside Research Institute,3,
RMS Company,2,
Roche,3,
Rochester Institute of Technology,1,
Rochester Precision Optics,1,
Rochester Regional Health,1,
Rock West Composites,1,
Rockwell Automation,2,
"RODO Medical, Inc.",2,
"Rogers Machinery Company, Inc.",1,
Rohrer Corporation,1,
Romac Industries,1,
Rowan College at Burlington County,2,
Rowan University,3,
RRH Learning Center,1,
RUAG,1,
"Ruchman and Associates, INC",2,
Rush University Medical Center,1,
"Russell Sigler, Inc.",1,
Rust-Oleum,2,
Rutgers University,1,
Ryder,1,
Ryzen Solutions,2,
S & C Electric Company,3,
S&S Cycle Inc.,5,
"SA Photonics, Inc.",13,
Sabel Systems,1,
Sackett Systems,1,
Sacré-Davey Engineering Inc.,1,
Safe Fleet,4,
Safran,1,
SAIC,47,
SAIC Innovation Center,8,
SAINT-GOBAIN,1,
Salas O'Brien,3,
"Salus Discovery, LLC",1,
Samsara,2,
San Diego State University,2,
San Mateo County Community College District,1,
Santa Clara Valley Transportation Authority,2,
SAP,2,
Sargent & Lundy,13,
Satellite Services Inc.,3,
Saudi Aramco,1,
Savioke,2,
Sayres & Associates,1,
ScaleFlux,1,
Schold Manufacturing,1,
School District of Philadelphia,2,
Schreiber Foods,1,
Schwing Bioset,2,
Scientific Games,2,
SCOTTY,1,
SDSU Research Foundation,2,
Seagate Technology,8,
SEAKR Engineering,2,
Seattle Children's Hospital,1,
Seattle Safety,1,
Security Risk Advisors,1,
Sei,1,
Semtech,1,
Sensata Technologies,1,
"Sentons, Inc",3,
Setpoint Systems Corporation,2,
SETTY,1,
ShaleApps,2,
Sheehy Mail Contractors,1,
Shell,1,
SHIELD AI,2,
Shimmick Construction,2,
SHINE Medical Technologies,1,
Shipbob Inc,1,
Shipt,1,
Shure Incorporated,1,
Shutterfly,2,
Siemens,7,
Sierra Nevada Corporation,19,
Sigma Design,1,
Sigmaways,3,
Signature Consultants,1,
Silfex,1,
Silk Road Medical,1,
"Silotech Group, Inc",1,
Simu Tech Group,4,
Singularis Solutions,3,
SiTime,1,
SiTime Corporation,3,
Sivaltech,1,
"SKF Motion Technologies, Inc.",1,
"SKIDMORE, OWINGS & MERRILL LLP",1,
"Skidmore, Owings & Merrill LLP (SOM)",1,
Skills Inc.,1,
Skycart Inc.,3,
Skydio,3,
Skymind,1,
"SkyWater Technology Foundry, Inc.",7,
SLAC National Accelerator Laboratory,12,
SMART Modular Technologies,2,
SmartWatt,2,
SMC,2,
Smith Seckman Reid,1,
SMS group Inc,1,
Socionext Inc,1,
Software Motor Company,4,
SOLUTE,4,
"Sonendo, Inc.",1,
Sonos,1,
Sony Electronics Inc,1,
Sony Interactive Entertainment PlayStation,1,
SoundHound Inc.,3,
Southland Industries Inc.,2,
Southwest Leadership Academy,2,
Space Micro,3,
Spaceflight Industries,3,
SpaceX,14,
Specialty Food Process Technologies,1,
Speck Products,2,
Springs Window Fashions,1,
SPX,1,
SPX Flow,3,
SPX Transformer Solutions,1,
Square,1,
SRAM Corporation,1,
"SRC, Inc.",1,
SRF Consulting,2,
SSI,3,
SSL (Space Systems Loral),1,
SSM Health St. Mary's Hospital - Madison,1,
St Christophers Hospital,2,
Stafkings Personnel Systems,1,
"Stainless Foundry & Engineering, Inc.",1,
Stanford Health Care,9,
Stanford Hotels Corporation,1,
Stanford University,4,
"Stanley Consultants, Inc.",3,
Stantec,5,
Starbucks,1,
Starkey Hearing Technologies,3,
State of Minnesota,2,
Stealth Space Company,3,
Steele Solutions,1,
Steelwind Industries,1,
Stellar Peak,3,
StellarPeak Corp.,1,
Stellartech Research Corporation,4,
Stifel,1,
Stolle Machinery,1,
"Stratasys, Inc.",1,
Strategic Operations Inc,1,
"Stratom, Inc.",2,
Strattec,1,
Strattec Security Corp.,1,
Strom Minnesota,2,
Stryker,1,
STV,1,
"Sub-Zero Group, Inc.",4,
Sub-Zero Wolf,2,
SUEZ,4,
Sumaria Systems Inc.,1,
"Summit Technology Services, Inc",1,
Sunbelt Controls,1,
Sunfolding,1,
Sunpower,2,
SunSource,1,
"Super Micro Computer, Inc.",11,
Superior Controls,1,
Supracor,1,
SureSite Consulting Group LLC,1,
Surface Optics Corporation,1,
SURVICE Engineering Company,6,
Susquehanna International Group,4,
Sutter Health,4,
Swedish Medical Center,2,
"Swedish Medical Center - Seattle, WA",1,
Synaptics,8,
Syncroness,1,
Synopsys,6,
Syska Hennessy Group,1,
System One,2,
Systemart LLC,1,
Systima Technologies,1,
T&M Associates,1,
Tachyum,1,
Talas Engineering,2,
"Tandem Diabetes Care, Inc.",2,
Tango Systems,1,
Tanisha Systems,3,
TARGET,9,
"TDI Technologies, Inc.",1,
TE Connectivity,3,
"Technical Machinery Solutions, Inc. - Graphic Inno...",1,
Tekruiting,2,
Tektronix,1,
Teledyne LeCroy PSG,1,
Teledyne Scientific & Imaging,3,
Temple University Health System,1,
Tempo Automation,2,
Tenergy,1,
Teoresi Inc,1,
Terex Corporation,2,
Terra Education Inc./Summer Springboard,2,
Tesla,72,
TESSEC Manufacturing Services,1,
Teton Simulation,1,
Tetra Tech,12,
Texas Instruments,3,
TGS Management Corporation,1,
The Exit Game,1,
The GBS Group,1,
The Global Edge Consultants,4,
The Hillman Group,2,
The Laboratory Charter School,1,
The Lane Construction Corporation,1,
"The Lisbon Group, LLC",3,
The Marketing Store,1,
The Medical Center of Aurora,1,
The Mice Groups,5,
The Roberts Group,1,
The Staffing Solutions Group,3,
The Timken Company,1,
The Toro Company,2,
The University of Chicago,5,
The University Of Denver,1,
Therma,2,
Thermal Care,1,
Thermal Product Solutions,2,
"Thermal Spray Technologies, Inc",2,
Thermo Fisher Scientific,6,
Thornton Tomasetti.,1,
Timesavers,2,
"Tipping Point Solutions, Inc.",1,
tk1sc,2,
TLG Aerospace,6,
TM Engineering,2,
TMP WORLDWIDE,1,
Toast,1,
"Tolomatic, Inc.",1,
Tompkins Bank of Castile,1,
TOMRA,3,
TOMRA Sorting Solutions,2,
Topcon,1,
TopGolf,7,
Tortuga Logic,2,
Tosca,1,
Tour Engine,1,
Toyota Research Institute,6,
Trackonomy,1,
Tramec LLC,1,
TransMontaigne,1,
TRC,2,
TRC Companies Inc,2,
Treau,3,
Trek Bicycle,1,
"TrellisWare Technologies, Inc",1,
Trex Commercial Products,1,
"Trex Company, Inc.",3,
Trex Enterprises Corporation,1,
TricorBraun,1,
Trimble,1,
Tripp Lite,1,
Triton College,1,
Triumph Group,1,
"Triumph Group, Inc.",1,
"TriVector Services, Inc.",4,
troemner,1,
Truckstop.com,1,
TTM Technologies,1,
TTM Technologies - North America,4,
TVS,1,
U.S. Army,3,
U.S. Engineering,1,
"U.S. Pipe, A Forterra Company",2,
Uber,3,
UC San Diego,1,
UChicago Medicine,1,
udelv,12,
"UES, Inc.",1,
UL LLC,2,
Ulteig,1,
Ultra Clean Technology,1,
UMC,1,
umlaut North America,2,
UNFI,1,
Unigen,2,
Union Tank Car Company (UTLX),1,
"Uniquify, Inc",2,
Unisys,1,
United Launch Alliance,8,
United States Army,1,
UNITED STATES ARMY / ARMY RESERVE,1,
United States Army & Army Reserve,1,
"United States Army, Active Duty & Army Reserves",1,
United States Navy Career Center South Bay,2,
Univar Solutions,1,
Universal Electronics,2,
University of California Berkeley,6,
University of California San Francisco,2,
University of California San Francisco Medical Cen...,2,
University of Colorado,3,
University of Colorado Boulder,2,
University of Dayton,8,
University of Illinois at Chicago,1,
University of Minnesota,14,
University of Pennsylvania,2,
University of Pennsylvania Health System,5,
University of Puget Sound,1,
University of Rochester,1,
University of San Diego,1,
University of the Pacific,1,
University of Washington,14,
University of Wisconsin–Madison,4,
University of Wisconsin–Milwaukee,1,
UPL North America Group Companies,1,
"Urban Engineers, Inc.",1,
UROPARTNERS,1,
US Army,1,
US Department of Defense,4,
US Department of the Air Force,1,
US Department of the Army,2,
US Department of the Navy,2,
US Foods,1,
USSC Acquisition Corp,1,
UST Global,5,
UW CREST,1,
UW Health,3,
Valdes Engineering Company,1,
Valen Analytics,1,
Vanguard,1,
Vantage,1,
Vapor Systems Technologies,1,
Varian Medical Systems,9,
Varstaff,2,
vCom Solutions,1,
"vCom Solutions, Inc.",1,
Vector Atomic,2,
Vectra Bank,1,
Veeco,2,
Velocity Consulting Solutions,1,
Velodyne,6,
Veolia US,1,
Verathon,1,
Verb Surgical,1,
Verkada,2,
VERSA Engineering & Technology,2,
Vertilite,2,
Vertiv Co.,2,
"View, Inc.",2,
"ViewRay, Inc.",1,
"Vigor, LLC",1,
Villanova University,1,
Vireo Health Inc.,2,
Virginia Mason Medical Center,1,
"VisionWorks Engineering, LLC",1,
Visteon Corporation,1,
Vita Inclinata Technologies,3,
Vitac,1,
Vizyontech Imaging,2,
Volt Workforce Solutions,1,
W. R. Grace & Co.,1,
Wacker Chemical Corporation,1,
Wacker Neuson Group,2,
Wagner Spray Tech,2,
Waymo,18,
Waystar,1,
Webcor Builders,2,
WEG Electric Corp,2,
Welch Allyn,2,
Wells Fargo,20,
Wells Fargo Bank,2,
Wenck Associates,1,
West Philadelphia Achievement Charter Elementary School,1,
Western Digital,2,
Whirlpool Corporation,2,
Whitehall Human Resources,1,
Wi Labs Inc.,1,
Widener University,2,
Willdan,2,
Willis Towers Watson,2,
Wind River,1,
Wing,8,
"Winslow Automation, Inc.",1,
Wish,1,
"Wiss, Janney, Elstner Associates",1,
Wolseley Industrial Group,1,
Wood,2,
"Woodward, Inc.",1,
Woolpert,1,
Worley,1,
Wright State University,3,
WSP USA,2,
Wuxi AppTec,1,
Wyandotte Tribe of Oklahoma,1,
WYNRIGHT,1,
Wynright Corporation,1,
Wyzant,1,
X-Scan Imaging Corporation,2,
Xcel Energy,3,
XCOM Labs,1,
xentity corporation,2,
Xerox Corporation,4,
ximedica llc,1,
XMotors.ai,3,
XSITE LLC,1,
Xylem,2,
"Xyntek, Inc",3,
"Yamaichi Electronics USA, Inc.",2,
Yaskawa America Inc.,2,
"Yaskawa America, Inc.",1,
Young Stealth Company,2,
Zachry Group,2,
Zacuto LLC,1,
Zayo Group,1,
zealogics,1,
ZEISS Group,7,
Zero Motorcycles,2,
Zing Professional Recruiting,1,
ZLLIUS,2,
"Zoomlion Heavy Industry NA, Inc.",1,
Zosano Pharma,2,
Zscaler,1,
Zulily,1,
(empty),,
Total Result,4829,
